,Number of clusters,Number of compounds,Number of molecules in largest cluster,Number of molecules in smallest cluster,Average cluster size,Median cluster size,Mode cluster size,Mode cluster count,Similarity between two random points in same cluster,Similarity between two random points in different cluster,Percentage of molecules in clusters
0.0,4172,8575,12,1,2.0553691275167787,1.0,1,2639,1.0,0.8872282608695652,0.6008163265306122
0.01,2781,8575,20,1,3.083423229054297,2.0,1,1048,0.9985422740524781,0.9093444909344491,0.7931195335276968
0.02,1774,8575,36,1,4.833709131905299,4.0,4,567,0.9941944847605225,0.9579710144927536,0.9474052478134111
0.03,1414,8575,52,1,6.064356435643564,4.0,4,433,1.0,0.9007194244604316,0.9708454810495627
0.04,1084,8575,76,1,7.910516605166052,4.0,4,267,0.9881656804733728,0.8925035360678925,0.9697959183673469
0.05,877,8575,112,1,9.777651083238313,6.0,4,165,0.9579710144927536,0.9362606232294618,0.9811078717201166
0.06,740,8575,200,1,11.587837837837839,7.0,4,127,0.9350453172205438,0.8345428156748912,0.9861224489795918
0.07,599,8575,280,1,14.315525876460768,8.0,4,107,0.8872620790629575,0.7854077253218884,0.9889212827988338
0.08,514,8575,368,1,16.682879377431906,8.0,4,84,0.9130434782608695,0.7200520833333334,0.9905539358600584
0.09,445,8575,564,1,19.269662921348313,8.0,4,64,0.8534246575342466,0.70703125,0.993002915451895
0.1,383,8575,708,1,22.389033942558747,11.0,4,54,0.8497191011235955,0.6957087126137841,0.9927696793002916
0.11,322,8575,808,1,26.630434782608695,11.0,4,43,0.8630705394190872,0.7588466579292268,0.9961516034985423
0.12,294,8575,940,1,29.166666666666668,12.0,4,39,0.9016393442622951,0.7033678756476683,0.9958017492711371
0.13,257,8575,1052,1,33.36575875486381,12.0,4,35,0.9084084084084084,0.681360201511335,0.997201166180758
0.14,226,8575,1192,1,37.942477876106196,13.0,4,24,0.8948126801152738,0.7071240105540897,0.997201166180758
0.15,204,8575,1324,1,42.03431372549019,12.5,4,27,0.7896879240162822,0.741514360313316,0.9968513119533527
0.16,173,8575,1436,1,49.566473988439306,16.0,4,20,0.8805732484076433,0.6313193588162762,0.9984839650145773
0.17,157,8575,1588,1,54.617834394904456,17.0,4,17,0.9116347569955817,0.6290115532734275,0.9991836734693877
0.18,143,8575,1696,1,59.96503496503497,18.0,4,17,1.0,0.7493368700265252,0.999067055393586
0.19,135,8575,1800,1,63.51851851851852,16.0,4,12,0.7958620689655173,0.641439205955335,0.999067055393586
0.2,122,8575,1960,2,70.28688524590164,16.0,4,10,0.817174515235457,0.5908045977011495,0.999067055393586
0.21,107,8575,2020,1,80.14018691588785,21.0,12,9,0.8284839203675345,0.6571815718157181,0.9998833819241982
0.22,105,8575,2076,2,81.66666666666667,20.0,4,10,0.8497267759562842,0.6256218905472637,0.999067055393586
0.23,92,8575,2108,1,93.20652173913044,24.0,4,6,0.8011126564673157,0.6291989664082688,0.999067055393586
0.24,85,8575,2164,1,100.88235294117646,24.0,3,4,0.9040697674418605,0.6122448979591837,0.9996501457725947
0.25,81,8575,2234,1,105.8641975308642,25.0,2,4,0.7784090909090909,0.5870712401055409,0.9988338192419826
0.26,76,8575,2323,1,112.82894736842105,24.5,4,6,0.817351598173516,0.6065359477124183,0.9996501457725947
0.27,71,8575,2426,1,120.77464788732394,24.0,4,6,0.640279394644936,0.7019230769230769,0.9998833819241982
0.28,65,8575,2615,2,131.92307692307693,30.0,3,5,0.7215189873417721,0.5916473317865429,0.999533527696793
0.29,59,8575,2740,1,145.33898305084745,31.0,4,7,0.7691275167785235,0.69875,0.9998833819241982
0.3,53,8575,2817,2,161.79245283018867,36.0,3,5,0.6877470355731226,0.5890207715133531,0.9997667638483965
0.31,51,8575,2936,3,168.13725490196077,39.0,4,4,0.6744186046511628,0.5376078914919852,1.0
0.32,46,8575,3032,3,186.41304347826087,43.5,4,5,0.8323353293413174,0.5060728744939271,1.0
0.33,45,8575,3212,2,190.55555555555554,42.0,8,3,0.9070464767616192,0.5994897959183674,0.999533527696793
0.34,40,8575,3351,4,214.375,44.5,4,4,0.5680628272251309,0.6810207336523126,1.0
