ID,Affinity_1,CNNscore_1,CNNaffinity_1,Realative_affinity,Affinity_1_smina,Affinity_2_smina,Affinity_3_smina,Affinity_4_smina,Affinity_5_smina
CHEMBL622,-11.5170946,0.326144248,9.43733692,-3.756234157461861,-11.6811152,-11.5348864,-11.4102192,-11.3766966,-10.8026361
CHEMBL956,-8.80490685,0.408616126,8.72411156,-3.5978269268378638,-9.35682583,-9.25273037,-9.10062599,-8.87190151,-8.72781467
CHEMBL6,-8.72040749,0.407148421,8.93441582,-3.550500140030073,-10.3023748,-9.91825485,-9.66266251,-9.63380241,-9.55067635
25-ref,-8.7432909,0.395044565,7.70482016,-3.4539895502589584,-9.53084469,-9.497015,-9.36549282,-9.12411594,-8.98588085
CHEMBL154,-9.30268192,0.365885198,8.34530163,-3.4037136162302204,-9.30166721,-8.98239899,-8.89607525,-8.777915,-8.76497841
CHEMBL435298,-9.66310883,0.346287787,8.48749256,-3.34621657228086,-12.0513306,-11.8906698,-11.79,-11.7486506,-11.6904907
CHEMBL563,-8.77591991,0.3806687,8.25002575,-3.3407180234438174,-12.0148373,-11.9929428,-11.9843435,-11.88379,-11.871747
CHEMBL1077,-8.59660435,0.3859092,8.7679615,-3.31750870742502,-10.5177374,-10.4511147,-10.420001,-10.3848982,-10.2999058
CHEMBL1071,-9.31791401,0.351837575,8.63910866,-3.2783922693369263,-12.0667124,-12.0327682,-11.9071312,-11.8667259,-11.7829304
CHEMBL469,-9.03779221,0.362059653,8.6652565,-3.2722199114387025,-9.72673893,-9.71560001,-9.5755949,-9.5563879,-9.47011852
CHEMBL139,-8.71906567,0.368407249,8.65232086,-3.212166997335042,-11.2128973,-11.1801987,-11.1194811,-10.9350471,-10.8789539
CHEMBL704,-9.25349426,0.342278093,8.19753456,-3.1672683688992462,-9.88084984,-9.59679508,-9.56594086,-9.54566193,-9.51199913
CHEMBL1201124,-7.88216305,0.401688486,8.32605934,-3.1661741419596425,-10.0391235,-9.86779404,-9.85072136,-9.80432224,-9.63785934
CHEMBL571,-8.87509441,0.350848168,8.54964066,-3.113810614575541,-10.395113,-10.2092218,-9.97561741,-9.97096252,-9.91741562
CHEMBL190083,-9.33060646,0.333679855,8.66642761,-3.113435410634864,-11.7200346,-11.6124821,-11.502737,-11.3478603,-11.2608318
CHEMBL404108,-8.52453423,0.350632489,8.85224724,-2.9889786546305985,-13.031723,-12.3802204,-12.3698177,-12.330308,-12.0926018
CHEMBL23588,-8.07264996,0.362295836,8.74312305,-2.9246874659935664,-12.6881752,-12.6143894,-12.4107342,-12.3742819,-12.3428068
CHEMBL1316,-7.99806738,0.359993249,8.71234226,-2.8792502618471176,-11.498105,-11.309309,-11.2851648,-11.2744312,-11.208518
CHEMBL145,-7.66646481,0.372375011,8.48709679,-2.8547999179548627,-8.95890236,-8.78360271,-8.72555923,-8.63698959,-8.51477432
CHEMBL424,-7.99936199,0.349174887,7.74757624,-2.793176318930345,-9.8401413,-9.76656342,-9.63387871,-9.48342133,-9.35165596
CHEMBL75435,-8.05313301,0.341382504,8.60090542,-2.749198711998857,-9.26362419,-9.15415573,-9.09421539,-9.05171299,-9.00541878
CHEMBL25,-7.89879322,0.346515119,8.16364288,-2.737051272584693,-8.78338337,-8.62019539,-8.49307156,-8.46303082,-8.41698647
CHEMBL175,-8.56242085,0.286158383,8.37124252,-2.450208505001486,-10.2289476,-9.63635254,-9.54460812,-9.47824097,-9.46551991
CHEMBL19299,-7.39436865,0.328171134,8.44304943,-2.426618345084549,-11.4866858,-11.4702568,-11.4163771,-11.1276979,-11.1166086
CHEMBL521,-9.98384857,0.182470992,7.78358459,-1.8217627525456808,-10.4279623,-10.2633963,-10.1469212,-10.1169205,-10.1155748
