,ps,link,lig,gen
0,5,4,6290,0
1,5,2,1631,0
2,4,3,8025,0
3,2,5,2595,0
4,6,3,4633,0
5,5,6,4644,0
6,0,5,3367,0
7,6,2,2283,0
8,5,5,4532,0
9,0,4,5290,0
10,3,3,4384,0
11,5,0,7060,0
12,2,3,1446,0
13,2,3,4836,0
14,1,1,2348,0
15,3,3,3449,0
16,4,4,1901,0
17,4,2,3388,0
18,5,3,1446,0
19,1,6,4486,0
20,0,4,7739,0
21,6,6,7158,0
22,0,3,5298,0
23,1,2,1854,0
24,3,5,3848,0
25,0,3,4564,0
26,3,6,828,0
27,2,1,5367,0
28,2,5,4688,0
29,2,1,5060,0
30,4,0,3335,0
31,1,4,685,0
32,5,3,6185,0
33,4,4,3812,0
34,6,0,2481,0
35,1,6,4021,0
36,5,4,8245,0
37,6,6,6282,0
38,2,0,7848,0
39,0,1,6069,0
40,2,1,2550,0
41,2,4,1604,0
42,0,2,6451,0
43,2,2,631,0
44,2,5,6805,0
45,5,1,6082,0
46,5,0,1915,0
47,0,0,5054,0
48,6,4,7458,0
49,2,5,2309,0
0,0,0,2469,99
1,0,0,2469,99
2,4,2,1546,99
3,4,2,1546,99
4,0,2,6934,99
5,0,2,6934,99
6,0,2,9131,99
7,4,1,2788,99
8,4,1,2788,99
9,4,1,1546,99
10,0,3,2788,99
11,0,3,2788,99
12,4,2,5008,99
13,0,2,2788,99
14,0,2,2788,99
15,4,1,6934,99
16,4,2,2788,99
17,3,2,6934,99
18,5,1,2788,99
19,0,1,2788,99
20,1,2,6934,99
21,0,1,1546,99
22,0,2,1649,99
23,1,0,2788,99
24,1,1,5008,99
25,0,1,1649,99
26,5,4,7570,99
27,3,2,2788,99
28,1,1,1649,99
29,4,4,6934,99
30,5,0,2469,99
31,4,5,6934,99
32,5,2,9230,99
33,0,1,9494,99
34,3,2,6840,99
35,5,2,1956,99
36,3,2,8154,99
37,0,3,4058,99
38,6,2,1956,99
39,0,2,9230,99
40,0,1,5604,99
41,2,6,2788,99
42,0,4,7709,99
43,4,0,2640,99
44,3,4,5235,99
45,1,0,4293,99
46,6,0,1546,99
47,4,3,2365,99
48,3,4,5008,99
49,4,0,712,99
