ID,Affinity_1,Affinity_2,Affinity_3,Affinity_4,Affinity_5
CHEMBL6,-13.35535,-12.81704,-12.78543,-12.33817,-12.32083
CHEMBL1201124,-13.07775,-12.97319,-12.96427,-12.87186,-12.77022
CHEMBL469,-12.70854,-12.50097,-12.48017,-12.41765,-12.40367
CHEMBL622,-12.69674,-12.21069,-12.00759,-11.86792,-11.82591
CHEMBL154,-12.687,-12.63601,-12.5754,-12.56874,-12.47158
CHEMBL404108,-12.543,-12.30415,-12.24958,-12.14209,-12.11226
CHEMBL1077,-12.47493,-12.37473,-12.36977,-12.32473,-12.22282
CHEMBL435298,-12.45389,-12.36458,-12.30366,-12.27756,-12.22325
CHEMBL563,-12.37878,-12.36591,-12.24994,-12.15118,-12.1416
CHEMBL1071,-12.12183,-12.06478,-11.9657,-11.86577,-11.86256
CHEMBL23588,-11.98079,-11.87219,-11.7922,-11.75134,-11.74953
CHEMBL139,-11.80596,-11.62413,-11.59731,-11.54975,-11.52407
CHEMBL175,-11.58617,-11.37611,-11.34474,-11.24396,-11.08339
CHEMBL704,-11.18965,-11.08558,-11.08309,-10.91724,-10.88229
CHEMBL424,-11.06006,-10.98987,-10.92615,-10.79263,-10.79032
CHEMBL1316,-10.9328,-10.82407,-10.64968,-10.62507,-10.62169
CHEMBL190083,-10.73689,-10.48564,-10.40598,-10.32695,-10.21609
CHEMBL571,-10.32513,-10.21437,-9.9849,-9.98407,-9.84538
CHEMBL25,-10.31882,-10.18419,-10.17831,-10.05326,-10.0393
25-ref_smina_docked,-10.13729,-9.93325,-9.88414,-9.87494,-9.83814
CHEMBL956,-10.04471,-9.98874,-9.9606,-9.94698,-9.89484
CHEMBL145,-9.93369,-9.90747,-9.77049,-9.50255,-9.42676
CHEMBL75435,-9.62877,-9.51382,-9.4258,-9.40413,-9.35093
CHEMBL19299,-9.45071,-9.39839,-9.34323,-9.30335,-9.29185
CHEMBL521,-9.24862,-9.20884,-9.13805,-9.06729,-8.95557
